,Stroma_4_9006750,Stroma_5_9006750,Stroma_6_9006750,Stroma_7_9006750,Stroma_8_9006750,Stroma_9_9006750,Stroma_10_9006750,Stroma_11_9006750,Stroma_12_9006750,Stroma_13_9006750,Stroma_14_9006750,Stroma_15_9006750,Stroma_17_9006750,Stroma_18_9006750,Stroma_19_9006750,Stroma_22_9006750,Stroma_4_9011659,Stroma_5_9011659,Stroma_6_9011659,Stroma_10_9011659,Stroma_11_9011659,Stroma_12_9011659,Stroma_13_9011659,Stroma_1_9107366,Stroma_2_9107366,Stroma_3_9107366,Stroma_4_9107366,Stroma_5_9107366,Stroma_6_9107366,Stroma_10_9107366,Stroma_1_8146090,Stroma_5_8146090,Stroma_6_8146090,Stroma_7_8146090,Stroma_10_8146090,Stroma_12_8146090,Stroma_13_8146090,Stroma_14_8146090,Stroma_16_8146090,Stroma_17_8146090,Stroma_18_8146090,Stroma_3_8146087,Stroma_4_8146087,Stroma_5_8146087,Stroma_6_8146087,Stroma_8_8146087,Stroma_10_8146087,Stroma_11_8146087,Stroma_14_8146087
macrophages,0.1922092880738952,0.19651325224090094,0.2704027372688375,0.2578182826193656,0.27357411187163705,0.2574504151855301,0.13456591131044005,0.26454479725265484,0.10589864421933651,0.1795528331157578,0.17324587574510092,0.4224445116336684,0.14487134999767282,0.20310930378405967,0.10009138559722518,0.48065140099645415,0.20872564558537351,0.21384844452370197,0.19453654298367662,0.23305302420951254,0.2457536769142114,0.12376461368780438,0.16820180358654824,0.16114782375064624,0.18290046734893675,0.2864135648104354,0.2443305542534239,0.2336805366497656,0.221833828561215,0.1795137133392742,0.08837916373059564,0.21666752911704465,0.28146897823979694,0.21265071067010005,0.19480456229002457,0.302656589343746,0.34870467127134935,0.35750853025530765,0.13975225575059932,0.31002454594789,0.2914776582497832,0.328793542045234,0.3096352591226071,0.2148756075940097,0.16482479946815515,0.09638206939296737,0.3589438025811297,0.419662100479101,0.19770995263238733
mast,0.0,0.0016965047469668867,0.0,0.005497558604590515,0.004106186321937169,0.0023031539520844825,0.0005522996508294977,0.0012889446012125407,0.0015292270888709353,0.001283075593987191,0.0005928457583753537,0.0008708133632322029,0.001823452023055787,0.00015997012791864893,0.0026162844112953237,0.001043800692298435,0.0005888680249134118,8.55937651692948e-05,0.0007632386977004231,0.0020290066762635524,0.0027304032727136713,0.002544446241196498,0.003153924802391796,0.0007303890236700857,0.0014021417067678402,8.504289693022687e-05,0.0,0.0,0.0,0.0003808758488606838,0.0007648416441145563,0.00020183388303514325,0.0,0.0010277362153182814,0.0005007023637038281,0.0005414802809727283,0.0012524941796848786,0.000235300155271836,0.0010939937958365407,3.155323149801019e-05,0.0002042013843158244,0.0,7.652874715015592e-05,0.0006590365794510591,0.0005578102133227576,0.0007441958989032147,0.001220991082725764,0.00038915363370432116,0.0010670780227083933
B,0.023259374874141,0.029751592268733043,0.013938656860925097,0.0,0.014163307207710165,0.045448967103168,0.024558982061273067,0.0,0.06763722777919075,0.03232294045466984,0.03829387759063908,0.0,0.0037963459783421885,0.03986233831218833,0.043410520648267566,0.0,0.003626609097027009,0.012384343557521951,0.013092719407070309,0.015073808021250652,0.01636884988537935,0.006017513371220855,0.015765583824093904,0.045850591732704477,9.735051474202231e-06,0.008862545521141059,0.008269296994164873,0.013521219290396931,0.011616028448126717,0.016968927650523963,0.5709120409048751,0.2900572661374443,0.021494232462662206,0.08142017086096025,0.05297594778537404,0.03849580603585824,0.010803193890648679,0.011266674208529646,0.17297096079101157,0.0314915540374837,0.013987463754837065,0.016457307007422588,0.027119979410894217,0.16532226933355637,0.2070633691538272,0.33725841993469863,0.031576344740117744,0.007998864773179768,0.17633264655228165
plasma,0.023778672980024864,0.0037521806990398134,0.009532429506735007,0.02589422446861702,0.0,0.0017392343300634625,0.022303073052477532,0.027012769642371662,0.00507462003638046,0.015891419765932963,0.02196898498837901,0.03001440617067787,0.0256659834793269,0.03185464724806412,0.006907315104466048,0.013228456132454472,0.0,0.0,0.00028191392778615607,0.003899031737293134,0.002536684149487953,0.0,0.011355654987283652,0.023473611968886466,0.03159027789091784,0.023578499171043866,0.005312163457385442,0.02061786498676556,0.0177338605386165,0.01095851823105417,0.029297273302545185,0.017962573539937434,0.03143897268890631,0.06143418279704179,0.04462119821003095,0.04327291945428136,0.07898939347981958,0.062151479683228344,0.05373028514630615,0.02154322253503103,0.01215607039038639,0.003944336027952849,0.04042899222407147,0.10800481359864197,0.014834879067898694,0.018992283219586688,0.014346918369852371,0.0,0.029586550746206496
CD4.T.cells,0.2189772660627551,0.23862026354128998,0.28893481827086365,0.0,0.0,0.11017714319496193,0.3188218303400794,0.12392426887757853,0.38981601424080076,0.30092995102394365,0.236767111307965,0.133437786187088,0.1937213458977922,0.17423356161646456,0.17447615811657724,0.06750024594566152,0.09240558561153245,0.06616005614298129,0.060801676976498055,0.030575136622667507,0.041489398556073656,0.0,0.06413022706963727,0.09579958506460037,0.08010353532471086,0.0765917267989804,0.07829171575612386,0.002849566523592317,0.0,0.020128366762251035,0.08446199164400703,0.20644456508003883,0.08205389536275705,0.12063233972427527,0.15345330770992,0.08976205180436626,0.05531328134135487,0.01490349239822058,0.22279057015988926,0.08147477881178522,0.05203587067515612,0.05583989825295698,0.028877941469416135,0.030020495993393053,0.2133701361361977,0.13945297010944646,0.03549762929397854,0.07134546244685981,0.17285325683835462
CD8.T.cells,0.16567478911917752,0.12680982646016947,0.09228958506639234,0.22251997108493707,0.15150440059414227,0.12866614920279237,0.17972312835671514,0.1418456512498525,0.20171637917691937,0.10699536964052739,0.1336947042498181,0.09309907042076873,0.11676812618006145,0.10356936259922951,0.17449773021750306,0.09164549903505471,0.174108607475431,0.14954013394106735,0.12020170993737603,0.0882133407945179,0.06739476434477726,0.016404360542833875,0.01607196670284677,0.1314308214921569,0.0901388093184308,0.09199161055883322,0.10813463614158889,0.05506093047277933,0.045981682237196474,0.12211749977271763,0.05155687395546197,0.08080269665805954,0.28851912394879753,0.22376177520787094,0.1798443672952944,0.1566793419089884,0.11939847070651184,0.20721663603079382,0.20649242775116303,0.1659125013005587,0.17133783690208637,0.16951398006227186,0.19782108898824527,0.15036980945586814,0.15254183509408428,0.15727350735343062,0.19043898715691499,0.13112667093170677,0.16772355106157844
NK,0.016705734912225764,0.002666475585023653,0.014900502978573364,0.018050894052164892,0.03502800550524005,0.023551162879440247,0.03634699395282467,0.014431970555466841,0.006375808416998206,0.017993119354852077,0.04266043287521423,0.0017530910300747832,0.0,0.007409154654168354,0.001690057054133995,0.001499938552171977,0.009280479155261007,0.0003828458981002843,0.012464397309439325,0.0,0.004950841446336335,0.02558992133916906,0.023218260877234043,0.017602725803355538,0.03094584383582082,0.010023434515865197,0.008419427616124256,0.00044762697653444365,0.010921964108403856,0.022708326017439752,0.009878652699520915,0.010378956204594642,0.03632795417066523,0.015996783148406853,0.0317052233318988,0.02354140677547116,0.020651193134053714,0.03952817631156405,0.01049312741267571,0.026097878709417443,0.02985317008445925,0.03666628590360974,0.02774390314843016,0.027045106504324422,0.0033703484151216493,0.015410731706008087,0.04088615903393066,0.028979983157812795,0.01651667015083627
pDC,0.013737645844095848,0.027639714321755056,0.016575334936269698,0.02034725064946953,0.01956277425606748,0.022590980109156004,0.0345821046994811,0.021142804747446897,0.03323796489530836,0.03193732000963512,0.0289156883482112,0.018864046185817728,0.009133360721046393,0.020145700987894543,0.026014823906113833,0.026960533682773628,0.01003871848980895,0.013301404203716305,0.002335079888109638,0.008500447369338231,0.013994490205182526,0.022168718358249,0.008971400777352367,0.009590813870387939,0.028782799889991578,0.013588581684108049,0.007797851575597063,0.018610016940628714,0.014987559896537135,0.0089976182271683,0.003986711453747056,0.008387318979416643,0.008591225280028309,0.008698724383864705,0.015341866768753586,0.004848067861064193,0.006820660426051249,0.005614513754448902,0.022191569280936855,0.006054143812815585,0.005071741544037632,0.009348931616581067,0.0034324673588118195,0.007063125722933403,0.007580953353133153,0.015684589521276146,0.007209811018756072,0.005945990698163738,0.003212249083863823
mDCs,0.0,0.0,0.0010773980079536794,0.0,0.0,0.0,0.007732977132169366,0.0003889875551457353,0.005492945560112383,0.010073723497516673,0.0159869230618689,0.0,0.004475451288462241,0.0,0.0,0.0,0.0019241750584348932,0.002797805167581935,0.0,0.004066091405651495,0.006369348718814067,0.0,0.0,0.03037093785447633,0.022873355769646598,0.010135108389502835,0.0005336907153184093,0.0,0.0,0.020095159273785104,0.006489002642058514,0.005123751827849819,0.006880796130034286,0.010167957790203797,0.018870237876860055,0.004484625660836657,0.005535328474383457,0.0,0.01618058655078954,0.0173753502861788,0.015688635806207826,0.009689100829939314,0.028453474188353964,0.01986229205855403,0.019185669998212987,0.01738657550725904,0.007376226492969062,0.002504570523636049,0.017812056944947783
monocytes,0.08827827685881179,0.055608968399309754,0.07595199299741259,0.07864455350964049,0.10501139429416691,0.052860675235938355,0.04631152659256105,0.1115033799606873,0.020563748015890396,0.046528936464584406,0.060337668480021193,0.10002941862831323,0.09867611247030336,0.0539686077084871,0.06778696604427381,0.1433375853439993,0.04570678086890504,0.06769968555240234,0.029265612035999807,0.035669940873936094,0.04253656931948716,0.006204853852536136,0.00833950152862697,0.05218415750810266,0.08651754203893659,0.09526437018161911,0.08853664865446155,0.07871993474008267,0.0513373641393995,0.07350488485125949,0.009319950289026428,0.01868001018612136,0.053021020932164896,0.025290550360855722,0.037640926511641776,0.038852387592101925,0.038941469179390904,0.03518134182949067,0.006081476366584971,0.034196824234561725,0.05079767684238955,0.01575708731410542,0.029191680257321814,0.013850314811442478,0.014210763488413459,0.017098596569751066,0.011795475519743422,0.03847142677982837,0.015369529531335456
neutrophils,0.0,0.047384613826860884,0.04710319916130042,0.0512753714891134,0.025113562439890824,0.0465104128438519,0.02603350510508385,0.018474355133541908,0.012069319843055827,0.023972856367549606,0.019291694100468066,0.041187808505099975,0.017577187856628155,0.016098102735728884,0.021898394456820347,0.03011849340672076,0.028388162128478677,0.026326472583115518,0.03867304102327642,0.06393183712218636,0.10171105231031949,0.13504570093754847,0.17558782021464098,0.0,0.0,0.0,0.0021957862253516175,0.022065381346162257,0.016598294714712143,0.011866915656093838,0.006545356999089045,0.011191307227125925,0.005994016931618301,0.014165072807491609,0.04999640747343111,0.10082517164146332,0.02071628027262455,0.05500967960919656,0.00931987370386171,0.03500890675460784,0.04938976159415889,0.11572123914379585,0.028618727810333013,0.03617922598675014,0.004816902476310941,0.025748527891847183,0.10554023578692173,0.136939653381768,0.02082915476223626
Treg,0.004997312616977642,0.030132411473843806,0.030026461716161537,0.0,0.0,0.02748823315628313,0.04688813144292949,0.010135088928931866,0.00732151512916239,0.03007486116698617,0.015078009281794213,0.0,0.05966779836279364,0.007039192124421047,0.047404814871452136,0.030014105654184033,0.06025929474107785,0.03719512149202952,0.023806255373106263,0.026008542541416973,0.019620763533797,0.0031205213538695107,0.007976585562006597,0.039553575035102324,0.06385737453432948,0.027538412372681342,0.0222547564911758,0.017875625194422973,0.04207334290467748,0.018995191524855973,0.014790901578999243,0.0296096533317513,0.012135152467822635,0.058898838779858104,0.023954851692938435,0.0,0.03355668266466886,0.009923030650286992,0.06416921003221077,0.01921733313671918,0.02302947684126511,0.012789343494432445,0.03623578608682413,0.05319813085469198,0.06339318685547128,0.06489823342052407,0.0,0.0,0.055426179061577104
endothelial.cells,0.1274067006504636,0.08791467613258558,0.0767922255866143,0.15892293638551827,0.15579377339035858,0.14858862139864673,0.06320142289903845,0.1470491534481772,0.08405606362424964,0.1312855717115661,0.09264374007249371,0.10016488926389855,0.18072959326591925,0.1671374993735453,0.16848854961774232,0.09521252816156958,0.11155871416462382,0.14987613918006426,0.1774806084463749,0.12013642173612497,0.13393559339321892,0.056685181632115215,0.13643277565793813,0.10436132899145388,0.10285511882692347,0.08577723801683662,0.07816024873157573,0.13571129984981645,0.15358169367742264,0.12911526812947438,0.06218999588621703,0.040881216307735745,0.05953911128410165,0.06489578754856652,0.07566330858147341,0.08811463788261886,0.06913946582804266,0.0856828349465022,0.047582183032936695,0.06312904348166727,0.08790014689783458,0.1132590254123416,0.11629649198180535,0.07366512452377322,0.04658651997742578,0.04730823982920023,0.06384981401535965,0.031270450101703685,0.047226612064951386
fibroblasts,0.12497493800743184,0.15150952030352122,0.062474657641960925,0.16102895713658302,0.2161424841188494,0.13262485140808322,0.05837811340409729,0.11825782804693215,0.05921052197372412,0.07115802183249118,0.12052244413965087,0.05813415861136049,0.1430938924785958,0.17541255872782982,0.16471699995412917,0.018787412396657294,0.2533883595991323,0.26040195399254806,0.32629720399358597,0.3688433708898406,0.3006075639502013,0.602454168683457,0.3607944944093993,0.28790363790445683,0.2780229984631132,0.27014986508202266,0.34776322338770854,0.40083999702905276,0.41333438077369244,0.3646487347152414,0.06142724326974237,0.06361132151984457,0.11253552010064445,0.10095936970518617,0.12062709210865497,0.10792551375823095,0.19017741515141542,0.11577831016715881,0.02715148022519766,0.18844236371978548,0.19707028903308216,0.11221992288935638,0.12606767920573542,0.09988464698261008,0.08766282630242496,0.04636105964510113,0.13131760490760047,0.12536567309253555,0.07833451254673499
